id	title	type	completionVarbit	x	y	plane	level
45	Mermaid guide: Catherby Bay	MERMAID_GUIDE	18619	2873	3397	0	38
46	Mermaid guide: Strait Of Khazard	MERMAID_GUIDE	18620	2757	3138	0	38
47	Mermaid guide: Red Reef	MERMAID_GUIDE	18621	2788	2548	0	38
48	Mermaid guide: Barracuda HQ	MERMAID_GUIDE	18622	2276	2598	0	38
49	Mermaid guide: Arrow Passage	MERMAID_GUIDE	18623	2917	2765	0	38
50	Mermaid guide: Turtle Belt	MERMAID_GUIDE	18624	3014	2556	0	38
51	Mermaid guide: Great Conch	MERMAID_GUIDE	18625	3282	2445	0	38
52	Mermaid guide: Rainbow Reef	MERMAID_GUIDE	18626	2256	2312	0	72
53	Mermaid guide: Anglerfishs Light	MERMAID_GUIDE	18627	2766	2382	0	38
54	Weather station: The Skullhorde	WEATHER	18628	2542	2541	0	57
55	Weather station: Barracuda Belt	WEATHER	18629	2082	2590	0	57
56	Weather station: Arrow Passage	WEATHER	18630	2903	2698	0	57
57	Weather station: Storm Tempor	WEATHER	18631	2979	2905	0	57
58	Weather station: Great Conch	WEATHER	18632	3321	2327	0	57
59	Weather station: Anglerfishs Light	WEATHER	18633	2864	2311	0	57
60	Drink crate: Spinners Gasp	DRINK_CRATE	18634	2677	2654	0	12
61	Drink crate: Barracuda Brew	DRINK_CRATE	18635	2282	2506	0	12
62	Drink crate: Banana Daiquiri	DRINK_CRATE	18636	2816	2733	0	12
63	Drink crate: Kharazi Cooler	DRINK_CRATE	18637	2888	2857	0	12
64	Drink crate: Dognose Draught	DRINK_CRATE	18638	3046	2665	0	12
65	Drink crate: Way Home	DRINK_CRATE	18639	3098	2458	0	12
66	Drink crate: Platinum Rum	DRINK_CRATE	18640	2205	2303	0	72
67	Drink crate: Light Dark	DRINK_CRATE	18641	2840	2280	0	12
68	Current duck: The Simian Sea	CURRENT_DUCK	18642	2691	2703	0	22
69	Current duck: Pest Island	CURRENT_DUCK	18643	2665	2560	0	22
70	Current duck: Kharazi Strait	CURRENT_DUCK	18644	2767	2895	0	22
71	Current duck: Red Reef	CURRENT_DUCK	18645	2902	2548	0	22
72	Current duck: Storm Tempor	CURRENT_DUCK	18646	3001	2847	0	24
73	Current duck: Great Conch	CURRENT_DUCK	18647	3204	2367	0	22
74	Current duck: Rainbow Reef	CURRENT_DUCK	18648	2335	2286	0	72
75	Current duck: The Lonely Sea	CURRENT_DUCK	18649	2624	2415	0	22
76	Spyglass: Void Knights	SPYGLASS	18650	2654	2682	0	1
77	Spyglass: Monkey Temple	SPYGLASS	18651	2828	2785	0	1
78	Spyglass: Kharazi Cave	SPYGLASS	18652	2945	2878	0	24
79	Spyglass: Dognose Island	SPYGLASS	18653	3050	2656	0	40
80	Spyglass: Unkah Ship	SPYGLASS	18654	3144	2854	0	24
81	Spyglass: Tortugan Village	SPYGLASS	18655	3187	2430	0	45
82	Spyglass: Conch Mountain	SPYGLASS	18656	3154	2548	0	1
83	Spyglass: Anglerfishs Lighthouse	SPYGLASS	18657	2895	2326	0	1
84	Charting: Atoll Cape	GENERIC	18658	2681	2714	0	1
85	Charting: Banana Boat	GENERIC	18659	2693	2793	0	1
86	Charting: Dead Shifter	GENERIC	18660	2804	2460	0	1
87	Charting: Pest Shipwreck	GENERIC	18661	2587	2593	0	1
88	Charting: Barracuda Rope	GENERIC	18662	2149	2615	0	1
89	Charting: Barracuda Portion	GENERIC	18663	2281	2447	0	1
90	Charting: Glider Kharazi Strait	GENERIC	18664	2781	2815	0	1
91	Charting: Sea Monkeys	GENERIC	18665	2881	2750	0	1
92	Charting: Map Bottle	GENERIC	18666	2798	2891	0	1
93	Charting: Rapidless Rapid	GENERIC	18667	2843	2837	0	1
94	Charting: Treasure Chest	GENERIC	18668	3075	2601	0	1
95	Charting: Crab Statue	GENERIC	18669	2066	2608	0	1
96	Charting: Desert Trout	GENERIC	18670	3033	2796	0	24
97	Charting: Lightning Rod	GENERIC	18671	3065	2885	0	24
98	Charting: Minor Conch	GENERIC	18672	3284	2514	0	1
99	Charting: Crab Apple	GENERIC	18673	3216	2466	0	45
100	Charting: Gnome Ball	GENERIC	18674	2336	2267	0	72
101	Charting: Edge Boat	GENERIC	18675	2334	2118	0	72
102	Charting: Dragon Scales	GENERIC	18676	2634	2392	0	1
103	Charting: Large Light	GENERIC	18677	2719	2296	0	1
104	Weather station: Gutanoth Bay	WEATHER	18678	2638	3009	0	57
105	Weather station: Breakbone Strait	WEATHER	18679	2335	2921	0	57
106	Weather station: Soul Bay	WEATHER	18680	2140	2806	0	57
107	Weather station: Zul Egil	WEATHER	18681	2149	3068	0	66
108	Spyglass: Ogre Island	SPYGLASS	18682	2597	3027	0	1
109	Spyglass: Cove Throne	SPYGLASS	18683	2605	2867	0	1
110	Spyglass: Myths Guild	SPYGLASS	18684	2429	2852	0	40
111	Spyglass: Cape Soul Island	SPYGLASS	18685	2342	2768	0	61
112	Spyglass: Toad Ponds	SPYGLASS	18686	2399	3027	0	40
113	Spyglass: Ruined Tower	SPYGLASS	18687	2128	2983	0	1
114	Spyglass: Zul Andra	SPYGLASS	18688	2199	3036	0	40
115	Drink crate: Ogre Prayer	DRINK_CRATE	18689	2624	3069	0	12
116	Drink crate: Point Punch	DRINK_CRATE	18690	2691	2940	0	12
117	Drink crate: Ooglug	DRINK_CRATE	18691	2595	2787	0	12
118	Drink crate: Myths Mixer	DRINK_CRATE	18692	2556	2664	0	12
119	Drink crate: Goldless Ale	DRINK_CRATE	18693	2334	2781	0	40
120	Drink crate: Destructors Cocktail	DRINK_CRATE	18694	2318	2966	0	40
121	Drink crate: Zogres Kiss	DRINK_CRATE	18695	2476	2969	0	40
122	Drink crate: Creators Cocktail	DRINK_CRATE	18696	2086	2882	0	12
123	Drink crate: Soul Bottle	DRINK_CRATE	18697	2221	2765	0	12
124	Drink crate: Zul Rye	DRINK_CRATE	18698	2279	3036	0	40
125	Mermaid guide: Gutanoth Bay	MERMAID_GUIDE	18699	2676	3035	0	38
126	Mermaid guide: Ooglog Channel	MERMAID_GUIDE	18700	2529	2829	0	38
127	Mermaid guide: Mythic Sea	MERMAID_GUIDE	18701	2446	2784	0	40
128	Mermaid guide: Backwater	MERMAID_GUIDE	18702	2469	3006	0	40
129	Mermaid guide: Soul Bay	MERMAID_GUIDE	18703	2012	2874	0	38
130	Current duck: Feldip Gulf	CURRENT_DUCK	18704	2645	2974	0	22
131	Current duck: Mythic Sea	CURRENT_DUCK	18705	2495	2708	0	40
132	Current duck: Breakbone Strait	CURRENT_DUCK	18706	2340	2896	0	40
133	Current duck: Soul Bay	CURRENT_DUCK	18707	2080	2859	0	22
134	Current duck: Backwater	CURRENT_DUCK	18708	2318	3057	0	40
135	Charting: Ogre Boat	GENERIC	18709	2633	3039	0	1
136	Charting: Feldip Ridge	GENERIC	18710	2695	2981	0	1
137	Charting: Dead Monster	GENERIC	18711	2634	2882	0	1
138	Charting: Abandoned Camp	GENERIC	18712	2476	2707	0	51
139	Charting: Soul Shipwreck	GENERIC	18713	2289	2712	0	1
140	Charting: Army Attire	GENERIC	18714	2460	2881	0	40
141	Charting: Diseased Coral	GENERIC	18715	2300	3043	0	40
142	Charting: Snake Eggs	GENERIC	18716	1996	2947	0	1
143	Charting: Large Jellyfish	GENERIC	18717	2089	2797	0	1
144	Charting: Poison Spill	GENERIC	18718	2165	3030	0	40
145	Weather station: Tirannwn Bight	WEATHER	18719	2130	3395	0	66
146	Weather station: Porth Neigwl	WEATHER	18720	2118	3159	0	66
147	Current duck: Western Gate	CURRENT_DUCK	18721	1978	3106	0	22
148	Current duck: Porth Neigwl	CURRENT_DUCK	18722	2071	3186	0	66
149	Current duck: Tirannwn Bight	CURRENT_DUCK	18723	2165	3260	0	66
150	Spyglass: Tyras Camp	SPYGLASS	18724	2160	3155	0	66
151	Spyglass: Prifddinas Gate	SPYGLASS	18725	2163	3318	0	66
152	Mermaid guide: Western Gate	MERMAID_GUIDE	18726	2041	3023	0	38
153	Mermaid guide: Crystal Sea	MERMAID_GUIDE	18727	1979	3211	0	38
154	Mermaid guide: Porth Neigwl	MERMAID_GUIDE	18728	2113	3123	0	66
155	Mermaid guide: Sapphire Sea	MERMAID_GUIDE	18729	1762	2611	0	38
156	Mermaid guide: Tirannwn Bight	MERMAID_GUIDE	18730	2120	3345	0	66
157	Charting: Sharhais Purse	GENERIC	18731	1947	2985	0	1
158	Charting: Elven Ship	GENERIC	18732	1980	3232	0	1
159	Charting: Halberd Poles	GENERIC	18733	2118	3158	0	66
160	Charting: River Mine	GENERIC	18734	2157	3274	0	66
161	Charting: Half Built Ship	GENERIC	18735	2026	3669	0	1
162	Drink crate: Mango Gin	DRINK_CRATE	18736	1993	2972	0	12
163	Drink crate: Snake Gravy	DRINK_CRATE	18737	2008	3261	0	12
164	Drink crate: Crystal Water	DRINK_CRATE	18738	2161	3203	0	66
165	Drink crate: Underground Milk	DRINK_CRATE	18739	2206	3484	0	66
166	Drink crate: Elven Wine	DRINK_CRATE	18740	2120	3418	0	66
167	Weather station: Vagabonds Rest	WEATHER	18741	2280	3518	0	66
168	Weather station: Pilgrims Passage	WEATHER	18742	1867	3458	0	57
169	Weather station: Winters Edge	WEATHER	18743	1817	3965	0	78
170	Mermaid guide: Porth Gwenith	MERMAID_GUIDE	18744	2283	3459	0	66
171	Mermaid guide: Piscatoris Sea	MERMAID_GUIDE	18745	2236	3593	0	66
172	Mermaid guide: Gulf Of Kourend	MERMAID_GUIDE	18746	1851	3668	0	38
173	Current duck: Porth Gwenith	CURRENT_DUCK	18747	2220	3429	0	66
174	Current duck: Pilgrims Passage	CURRENT_DUCK	18748	1871	3430	0	22
175	Current duck: Gulf Of Kourend	CURRENT_DUCK	18749	1813	3664	0	22
176	Current duck: Winters Edge	CURRENT_DUCK	18750	1866	3911	0	78
177	Spyglass: Fishing Colony	SPYGLASS	18751	2303	3700	0	1
178	Spyglass: Tithe Farm	SPYGLASS	18752	1861	3528	0	1
179	Spyglass: Port Piscarilius	SPYGLASS	18753	1846	3769	0	1
180	Spyglass: River Of Souls	SPYGLASS	18754	1793	3978	0	78
181	Drink crate: Sea Spray	DRINK_CRATE	18755	2079	3655	0	12
182	Drink crate: Bankers Draught	DRINK_CRATE	18756	1887	3556	0	12
183	Drink crate: Headless Unicornman	DRINK_CRATE	18757	1934	3742	0	12
184	Drink crate: Soul Juice	DRINK_CRATE	18758	1898	4069	0	78
185	Charting: Crystal Dinghy	GENERIC	18759	2210	3445	0	66
186	Charting: Hunter Outfits	GENERIC	18760	2133	3589	0	66
187	Charting: Kraken Slime	GENERIC	18761	2300	3662	0	1
188	Charting: Discarded Plough	GENERIC	18762	1855	3586	0	1
189	Charting: Broken Crane	GENERIC	18763	1847	3796	0	1
190	Charting: Toad Spawn	GENERIC	18764	1762	4005	0	78
191	Spyglass: Menaphos Pyramid	SPYGLASS	18765	3145	2734	0	1
192	Mermaid guide: Menaphite Sea	MERMAID_GUIDE	18766	3044	2722	0	38
193	Charting: Sand Pit	GENERIC	18767	3143	2770	0	1
194	Current duck: Menaphite Sea	CURRENT_DUCK	18768	3185	2654	0	22
195	Drink crate: Crocodile Tears	DRINK_CRATE	18769	3190	2706	0	12
196	Charting: Crab Eyes	GENERIC	18770	2587	3657	0	1
197	Charting: Tree Roots	GENERIC	18771	2479	3546	0	1
198	Charting: Ghrim Sign	GENERIC	18772	2528	3818	0	1
199	Charting: Neds Book	GENERIC	18773	2383	3769	0	1
200	Charting: Kebbit Burrow	GENERIC	18774	2726	3855	0	78
201	Charting: Magic Wards	GENERIC	18775	2225	3892	0	1
202	Charting: Dead Livid	GENERIC	18776	2083	3953	0	78
203	Charting: Lunar Brooms	GENERIC	18777	2144	4067	0	78
204	Charting: Fearless Fremennik	GENERIC	18778	2426	3961	0	78
205	Charting: Discarded Sled	GENERIC	18779	2783	3882	0	78
206	Charting: Shark Corpse	GENERIC	18780	2587	3919	0	78
207	Charting: KGP Periscope	GENERIC	18781	2709	4124	0	78
208	Charting: Ice Ship	GENERIC	18782	2902	3965	0	78
209	Current duck: Fremensund	CURRENT_DUCK	18783	2561	3626	0	22
210	Current duck: Grandroot Bay	CURRENT_DUCK	18784	2369	3507	0	22
211	Current duck: VS Belt	CURRENT_DUCK	18785	2428	3831	0	22
212	Current duck: Fremennik Strait	CURRENT_DUCK	18786	2305	3795	0	22
213	Current duck: Idestia Strait	CURRENT_DUCK	18787	2695	3828	0	22
214	Current duck: Lunar Bay	CURRENT_DUCK	18788	2159	3849	0	22
215	Current duck: Everwinter Sea	CURRENT_DUCK	18789	1792	4137	0	78
216	Current duck: Kannski Tides	CURRENT_DUCK	18790	2316	3903	0	78
217	Current duck: Weissmere	CURRENT_DUCK	18791	2833	3960	0	78
218	Current duck: Stoneheart Sea	CURRENT_DUCK	18792	2433	4006	0	78
219	Current duck: Weiss Melt	CURRENT_DUCK	18793	2880	3985	0	78
220	Weather station: Fremensund	WEATHER	18794	2594	3644	0	57
221	Weather station: Grandroot Bay	WEATHER	18795	2498	3546	0	57
222	Weather station: Fremennik Strait	WEATHER	18796	2341	3790	0	57
223	Weather station: Idestia Strait	WEATHER	18797	2600	3910	0	78
224	Weather station: Everwinter Sea	WEATHER	18798	1959	4065	0	78
225	Weather station: Stoneheart Sea	WEATHER	18799	2447	3995	0	78
226	Weather station: Shiverwake Expanse	WEATHER	18800	2793	4020	0	78
227	Weather station: Weiss Melt	WEATHER	18801	2951	3962	0	78
228	Spyglass: Fremensund	SPYGLASS	18802	2636	3707	0	1
229	Spyglass: Grandroot Bay	SPYGLASS	18803	2504	3612	0	1
230	Spyglass: VS Belt	SPYGLASS	18804	2477	3862	0	1
231	Spyglass: Fremennik Strait	SPYGLASS	18805	2366	3777	0	1
232	Spyglass: Idestia Strait	SPYGLASS	18806	2636	3874	0	1
233	Spyglass: Lunar Bay	SPYGLASS	18807	2160	3901	0	1
234	Spyglass: Winters Edge	SPYGLASS	18808	2051	3913	0	1
235	Spyglass: Lunar Sea	SPYGLASS	18809	2237	4064	0	78
236	Spyglass: Kannski Tides	SPYGLASS	18810	2351	3904	0	78
237	Spyglass: Weissmere	SPYGLASS	18811	2781	3987	0	78
238	Spyglass: Stoneheart Sea	SPYGLASS	18812	2620	4059	0	78
239	Spyglass: Shiverwake Expanse	SPYGLASS	18813	2879	4078	0	78
240	Spyglass: Weiss Melt	SPYGLASS	18814	2990	3971	0	78
241	Mermaid guide: Fremensund	MERMAID_GUIDE	18815	2518	3690	0	38
242	Mermaid guide: Grandroot Bay	MERMAID_GUIDE	18816	2513	3571	0	38
243	Mermaid guide: VS Belt	MERMAID_GUIDE	18817	2505	3892	0	78
244	Mermaid guide: Idestia Strait	MERMAID_GUIDE	18818	2664	3954	0	78
245	Mermaid guide: Lunar Bay	MERMAID_GUIDE	18819	2221	3833	0	38
246	Mermaid guide: Winters Edge	MERMAID_GUIDE	18820	1970	3966	0	78
247	Mermaid guide: Lunar Sea	MERMAID_GUIDE	18821	2061	4118	0	78
248	Mermaid guide: Everwinter Sea	MERMAID_GUIDE	18822	1823	4018	0	78
249	Mermaid guide: Kannski Tides	MERMAID_GUIDE	18823	2357	3977	0	78
250	Mermaid guide: Weissmere	MERMAID_GUIDE	18824	2816	3975	0	78
251	Mermaid guide: Stoneheart Sea	MERMAID_GUIDE	18825	2475	4133	0	78
252	Mermaid guide: Shiverwake Expanse	MERMAID_GUIDE	18826	2824	4092	0	78
253	Drink crate: Fishier Stout	DRINK_CRATE	18827	2689	3732	0	12
254	Drink crate: Toad Cider	DRINK_CRATE	18828	2453	3597	0	12
255	Drink crate: Blue Lagoon	DRINK_CRATE	18829	2474	3798	0	12
256	Drink crate: Fishtongue Tonic	DRINK_CRATE	18830	2273	3745	0	12
257	Drink crate: Endless Night	DRINK_CRATE	18831	2651	3811	0	12
258	Drink crate: Exiles Welcome	DRINK_CRATE	18832	2142	3874	0	12
259	Drink crate: Suqah Cola	DRINK_CRATE	18833	2113	4142	0	78
260	Drink crate: Winter Sun	DRINK_CRATE	18834	1757	4150	0	78
261	Drink crate: Black Lobster	DRINK_CRATE	18835	2359	3878	0	12
262	Drink crate: Dwarvern Wizard	DRINK_CRATE	18836	2775	3935	0	78
263	Drink crate: KGP Martini	DRINK_CRATE	18837	2612	4146	0	78
264	Drink crate: Corpse Reviver	DRINK_CRATE	18838	2785	4046	0	78
265	Drink crate: Weiss Meltwater	DRINK_CRATE	18839	2912	4154	0	78
266	Current duck: Turtle Belt	CURRENT_DUCK	18840	2947	2584	0	22
267	Current duck: Bay Of Elidinis	CURRENT_DUCK	18841	3248	2703	0	22
268	Current duck: Tortugan Sea	CURRENT_DUCK	18842	3279	2463	0	22
269	Current duck: Pearl Bank	CURRENT_DUCK	18843	3337	2179	0	22
270	Spyglass: Tortugan Sea	SPYGLASS	18844	3261	2506	0	1
271	Mermaid guide: Sea Of Shells	MERMAID_GUIDE	18845	2963	2203	0	38
272	Mermaid guide: Bay Of Elidinis	MERMAID_GUIDE	18846	3338	2622	0	38
273	Mermaid guide: Pearl Bank	MERMAID_GUIDE	18847	3276	2130	0	38
274	Mermaid guide: The Lonely Sea	MERMAID_GUIDE	18848	2528	2149	0	38
275	Charting: Bird Nest	GENERIC	18849	2963	2264	0	47
276	Charting: Golem Corpse	GENERIC	18850	3243	2702	0	1
277	Charting: Ship Bottle	GENERIC	18851	3375	2135	0	1
278	Drink crate: Reddest Rum	DRINK_CRATE	18852	2778	2523	0	12
279	Drink crate: Life Water	DRINK_CRATE	18853	3239	2598	0	12
280	Drink crate: Possible Albumen	DRINK_CRATE	18854	3301	2146	0	12
281	Drink crate: Alone At Sea	DRINK_CRATE	18855	2522	2248	0	12
282	Weather station: Aureum Coast	WEATHER	18856	1779	2940	0	57
283	Weather station: The Everdeep	WEATHER	18857	1928	2791	0	57
284	Weather station: Southern Expanse	WEATHER	18858	1881	2445	0	72
285	Spyglass: Fortis Bay	SPYGLASS	18859	1823	3046	0	1
286	Spyglass: Aureum Coast	SPYGLASS	18860	1737	2907	0	1
287	Spyglass: Wyrms Waters	SPYGLASS	18861	1634	2883	0	1
288	Spyglass: The Everdeep	SPYGLASS	18862	1943	2737	0	1
289	Spyglass: Sapphire Sea	SPYGLASS	18863	1796	2664	0	1
290	Drink crate: Alco Sol	DRINK_CRATE	18864	1826	2957	0	12
291	Drink crate: Portal Perry	DRINK_CRATE	18865	1762	2854	0	12
292	Drink crate: Congratulation Wine	DRINK_CRATE	18866	1570	2808	0	12
293	Drink crate: Fish Stoutier	DRINK_CRATE	18867	2387	2477	0	12
294	Drink crate: Crystal Vodka	DRINK_CRATE	18868	1854	2771	0	12
295	Drink crate: Comp Kvass	DRINK_CRATE	18869	1675	2478	0	12
296	Drink crate: Puzzlers Poteen	DRINK_CRATE	18870	1821	2439	0	72
297	Charting: Seagull Nest	GENERIC	18871	1896	2994	0	1
298	Charting: Wreck Weight	GENERIC	18872	1845	2824	0	1
299	Charting: Atoll Dictionary	GENERIC	18873	1593	2755	0	1
300	Charting: Scary Shadow	GENERIC	18874	1976	2680	0	1
301	Charting: Sea Sapphires	GENERIC	18875	1762	2580	0	1
302	Charting: Nothing Sign	GENERIC	18876	1828	2138	0	72
303	Current duck: Fortis Bay	CURRENT_DUCK	18877	1779	2988	0	22
304	Current duck: Wyrms Waters	CURRENT_DUCK	18878	1543	2785	0	22
305	Current duck: The Skullhorde	CURRENT_DUCK	18879	2488	2530	0	22
306	Current duck: Sapphire Sea	CURRENT_DUCK	18880	1745	2662	0	22
307	Mermaid guide: Fortis Bay	MERMAID_GUIDE	18881	1898	3048	0	38
308	Mermaid guide: Aureum Coast	MERMAID_GUIDE	18882	1889	2882	0	38
309	Mermaid guide: Wyrms Waters	MERMAID_GUIDE	18883	1711	2818	0	38
310	Mermaid guide: The Skullhorde	MERMAID_GUIDE	18884	2460	2449	0	38
311	Mermaid guide: Sea Of Souls	MERMAID_GUIDE	18885	2118	2716	0	38
312	Mermaid guide: The Everdeep	MERMAID_GUIDE	18886	1942	2650	0	38
313	Mermaid guide: Southern Expanse	MERMAID_GUIDE	18887	2057	2317	0	72
314	Weather station: Crabclaw Bay	WEATHER	18888	1651	3461	0	57
315	Weather station: Litus Lucis	WEATHER	18889	1714	3193	0	57
316	Spyglass: Great Sound	SPYGLASS	18890	1413	3394	0	1
317	Spyglass: Crabclaw Bay 1	SPYGLASS	18891	1600	3310	0	1
318	Spyglass: Crabclaw Bay 2	SPYGLASS	18892	1744	3405	0	1
319	Spyglass: Crystal Sea	SPYGLASS	18893	1886	3266	0	1
320	Spyglass: Vagabonds Rest	SPYGLASS	18894	2101	3702	0	1
321	Mermaid guide: Crabclaw Bay	MERMAID_GUIDE	18895	1681	3380	0	38
322	Mermaid guide: Hosidian Sea	MERMAID_GUIDE	18896	1969	3597	0	38
323	Mermaid guide: Pilgrims Passage	MERMAID_GUIDE	18897	1880	3372	0	38
324	Mermaid guide: Litus Lucis	MERMAID_GUIDE	18898	1821	3166	0	38
325	Mermaid guide: Vagabonds Rest	MERMAID_GUIDE	18899	2018	3705	0	38
326	Mermaid guide: Moonshadow	MERMAID_GUIDE	18900	2044	3792	0	38
327	Current duck: Great Sound	CURRENT_DUCK	18901	1384	3465	0	22
328	Current duck: Litus Lucis	CURRENT_DUCK	18902	1721	3237	0	22
329	Current duck: Crystal Sea	CURRENT_DUCK	18903	1920	3296	0	22
330	Current duck: Moonshadow	CURRENT_DUCK	18904	2122	3796	0	22
331	Drink crate: Wild Whisky	DRINK_CRATE	18905	1437	3430	0	12
332	Drink crate: Roberts Port	DRINK_CRATE	18906	1926	3394	0	12
333	Drink crate: Sea Shandy	DRINK_CRATE	18907	1783	3252	0	12
334	Drink crate: Monkfish Stout	DRINK_CRATE	18908	2248	3744	0	12
335	Drink crate: Lunarshine	DRINK_CRATE	18909	2030	3829	0	12
336	Charting: Beginning Sign	GENERIC	18910	1529	3405	0	1
337	Charting: Barracuda Advert	GENERIC	18911	1656	3304	0	1
338	Charting: Sabotaged Mooring	GENERIC	18912	1789	3401	0	1
339	Charting: Chinchompa Table	GENERIC	18913	1887	3424	0	1
340	Charting: Kraken Skeleton	GENERIC	18914	1871	3177	0	1
341	Charting: Jail Book	GENERIC	18915	1890	3271	0	1
342	Charting: Lunar Wreck	GENERIC	18916	2170	3773	0	1
343	Spyglass: Sunset Bay	SPYGLASS	18917	1470	2980	0	1
344	Spyglass: Misty Sea	SPYGLASS	18918	1387	2840	0	1
345	Weather station: Dusks Maw	WEATHER	18919	1188	2822	0	57
346	Current duck: Sunset Bay	CURRENT_DUCK	18920	1422	3046	0	22
347	Current duck: Dusks Maw	CURRENT_DUCK	18921	1259	2876	0	22
348	Mermaid guide: Sunset Bay	MERMAID_GUIDE	18922	1575	2942	0	38
349	Mermaid guide: Misty Sea	MERMAID_GUIDE	18923	1322	2628	0	38
350	Mermaid guide: Dusks Maw	MERMAID_GUIDE	18924	1314	2931	0	38
351	Charting: Prop Wreck	GENERIC	18925	1448	2896	0	1
352	Charting: Fishing Nets	GENERIC	18926	1439	2716	0	1
353	Charting: Crab Hole	GENERIC	18927	1232	3005	0	1
354	Drink crate: Drunk Impling	DRINK_CRATE	18928	1426	2865	0	12
355	Drink crate: Mystery Cider	DRINK_CRATE	18929	1561	2655	0	12
356	Drink crate: Sailing Cat	DRINK_CRATE	18930	1050	2886	0	12
357	Spyglass: Charting Tutor	SPYGLASS	18931	3051	9388	0	1
